Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,1,1,1,0.114,9
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,3,1,3,0.005,600
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,10,1,10,0.222,46
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,31,1,31,0.833,38
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,100,1,100,2.365,43
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,316,1,316,5.513,58
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,1000,1,1000,11.718,86
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,3162,1,3162,24.079,132
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.4.5,Get+Set+Delete,1,10000,1,10000,6.507,1537
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,1,1,1,0.017,59
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,3,1,3,0.031,97
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,10,1,10,0.204,50
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,31,1,31,0.524,60
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,100,1,100,1.32,76
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,316,1,316,4.076,78
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,1000,1,1000,13.848,73
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,3162,1,3162,40.336,79
ZK Performance Test-move,AWS-Non-Optimal-EBS,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,10000,1,10000,126.964,79
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,1,1,1,0.006,167
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,3,1,3,0.007,429
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,10,1,10,0.021,477
ZK Performance Test-move,Ramdisk,10000,AWS,Zookeeper-3.3.6,Get+Set+Delete,1,31,1,31,0.1,310
