Test Name,Transaction Log Location,Log Location Configuration ,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client, Number of Clients, Total Number of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,316,1,316,0.768,412
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,1000,1,1000,1.778,563
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,3162,1,3162,3.799,833
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,1,10000,5.853,1709
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,31622,1,31622,14.977,2112
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,100000,1,100000,45.761,2186
ZK Performance Test-Write,None,None,10000,Local Machine,Zookeeper-3.4.5,Create,1,1,1,1,0.013,77
ZK Performance Test-Write,None,None,10000,Local Machine,Zookeeper-3.4.5,Create,1,3,1,3,0.003,1000
ZK Performance Test-Write,None,None,10000,Local Machine,Zookeeper-3.4.5,Create,1,10,1,10,0.015,667
ZK Performance Test-Write,None,None,10000,Local Machine,Zookeeper-3.4.5,Create,1,31,1,31,0.051,608
ZK Performance Test-Write,None,None,10000,Local Machine,Zookeeper-3.4.5,Create,1,100,1,100,0.146,685
ZK Performance Test-Write,None,None,10000,Local Machine,Zookeeper-3.4.5,Create,1,316,1,316,0.256,1235
ZK Performance Test-Write,None,None,10000,Local Machine,Zookeeper-3.4.5,Create,1,1000,1,1000,0.547,1829
ZK Performance Test-Write,None,None,10000,Local Machine,Zookeeper-3.4.5,Create,1,3162,1,3162,1.352,2339
ZK Performance Test-Write,None,None,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,1,10000,3.061,3267
ZK Performance Test-Write,None,None,10000,Local Machine,Zookeeper-3.4.5,Create,1,31622,1,31622,6.061,5218
ZK Performance Test-Write,None,None,10000,Local Machine,Zookeeper-3.4.5,Create,1,100000,1,100000,19.29,5185
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,1,10000,5.39,1856
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,5,50000,1.622,30827
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,10,100000,2.442,40951
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,15,150000,3.33,45046
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,20,200000,4.506,44386
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,25,250000,5.539,45135
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,30,300000,6.708,44723
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,35,350000,7.917,44209
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,40,400000,8.784,45538
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,45,450000,10.09,44599
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,50,500000,11.595,43123
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,1,10000,8.426,1187
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,5,50000,6.213,8048
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,10,100000,5.217,19169
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,15,150000,6.718,22329
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,20,200000,8.618,23208
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,25,250000,10.469,23881
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,30,300000,11.837,25345
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,35,350000,14.608,23960
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,40,400000,15.668,25530
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,45,450000,18.182,24750
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,50,500000,21.445,23316
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,1,10000,36.797,272
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,5,50000,77.451,646
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,10,100000,101.541,985
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,15,150000,112.25,1337
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,20,200000,103.464,1934
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,25,250000,99.532,2512
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,30,300000,93.012,3226
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,35,350000,97.445,3592
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,40,400000,100.791,3969
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,45,450000,103.596,4344
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,50,500000,108.199,4622
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,1,10000,67.292,149
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,5,50000,130.463,384
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,10,100000,179.124,559
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,15,150000,223.456,672
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,20,200000,256.83,779
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,25,250000,284.997,878
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,30,300000,293.895,1021
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,35,350000,296.908,1179
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,40,400000,302.715,1322
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,45,450000,314.479,1431
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,50,500000,317.376,1576
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,1,1,1,0.016,63
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,3,1,3,0.003,1000
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,10,1,10,0.011,910
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,31,1,31,0.033,940
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,100,1,100,0.11,910
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,316,1,316,0.502,630
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,1000,1,1000,0.956,1047
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,3162,1,3162,1.685,1877
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,10000,1,10000,2.122,4713
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,31622,1,31622,3.521,8981
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,100000,1,100000,11.197,8931
