Test Name,Transaction Log Location,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client,Number Of Clients,TotalNumber of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-move,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Get+Set+Delete,1,316,1,316,0.439,720
ZK Performance Test-move,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Get+Set+Delete,1,1000,1,1000,0.884,1132
ZK Performance Test-move,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Get+Set+Delete,1,3162,1,3162,1.479,2138
ZK Performance Test-move,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Get+Set+Delete,1,10000,1,10000,6.575,1521
ZK Performance Test-move,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Get+Set+Delete,1,31622,1,31622,14.959,2114
ZK Performance Test-move,Ramdisk,10000,LocalMachine,Zookeeper-3.3.6,Get+Set+Delete,1,100000,1,100000,57.266,1747
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get+Set+Delete,1,1,1,1,0.023,44
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get+Set+Delete,1,3,1,3,0.036,84
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get+Set+Delete,1,10,1,10,0.122,82
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get+Set+Delete,1,31,1,31,0.319,98
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get+Set+Delete,1,100,1,100,1.094,92
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get+Set+Delete,1,316,1,316,3.112,102
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get+Set+Delete,1,1000,1,1000,9.155,110
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get+Set+Delete,1,3162,1,3162,28.594,111
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get+Set+Delete,1,10000,1,10000,88.729,113
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get+Set+Delete,1,31622,1,31622,278.549,114
ZK Performance Test-move,Disk,10000,LocalMachine,Zookeeper-3.3.6,Get+Set+Delete,1,100000,1,100000,878.297,114
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.3.6,move,1,1,1,1,0.01,100
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.3.6,move,1,3,1,3,0.028,108
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.3.6,move,1,10,1,10,0.105,96
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.3.6,move,1,31,1,31,0.413,76
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.3.6,move,1,100,1,100,1.266,79
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.3.6,move,1,316,1,316,3.727,85
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.3.6,move,1,1000,1,1000,10.906,92
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.3.6,move,1,3162,1,3162,33.691,94
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.3.6,move,1,10000,1,10000,104.462,96
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.3.6,move,1,31622,1,31622,324.094,98
ZK Performance Test-ZKmove,Disk,10000,LocalMachine,Zookeeper-3.3.6,move,1,100000,1,100000,1033.504,97
